Date,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,Total Traded,Turnover,No. of
19-Mar-15,2576,2605.85,2568.1,2602,2596.25,2596.45,"12,24,482",31793.03,71701
20-Mar-15,2596,2618,2578.85,2610.85,2610.95,2608.5,"9,81,954",25614.23,74415
23-Mar-15,2616,2631,2606,2616,2617.15,2616.73,"7,83,304",20496.95,59518
24-Mar-15,2630,2637,2582.1,2600,2591.3,2617.59,"11,97,439",31344.09,58016
25-Mar-15,2591.4,2614,2545.2,2569.85,2573.75,2575.29,"11,12,429",28648.27,75792
26-Mar-15,2553.3,2586.7,2501,2515,2513.1,2535.65,"15,45,821",39196.65,82115
27-Mar-15,2531,2571.9,2504.1,2519.9,2514.8,2536.73,"13,75,888",34902.57,76990
30-Mar-15,2525,2569.9,2520,2554.2,2564.15,2546.18,"6,69,503",17046.75,64141
31-Mar-15,2569.45,2569.45,2521,2560,2553.95,2548.15,"12,13,514",30922.15,88908
1-Apr-15,2558,2563.6,2522.25,2544.05,2542.65,2538.81,"10,37,879",26349.81,54078
6-Apr-15,2558,2562.9,2500.1,2548.3,2547.3,2531.53,"7,84,271",19854.05,45408
7-Apr-15,2562.45,2599,2544,2588.95,2585,2571.5,"9,43,461",24261.11,77106
8-Apr-15,2594,2656.5,2590.85,2646,2641.4,2632,"8,26,067",21742.08,61358
9-Apr-15,2659,2687.45,2635.15,2662.6,2664.55,2658.35,"12,72,225",33820.18,62583
10-Apr-15,2648.5,2670.8,2628,2651.1,2653.75,2648.39,"9,07,772",24041.35,63471
13-Apr-15,2664,2665,2628,2653.85,2655.5,2650.09,"6,54,321",17340.11,54293
15-Apr-15,2654.7,2713.9,2609.4,2618.95,2627.75,2646.26,"14,56,967",38555.13,74856
16-Apr-15,2626.95,2627,2571.35,2574,2582.8,2589.79,"16,08,785",41664.16,71768
17-Apr-15,2557.1,2560,2470,2473.9,2474.85,2495.54,"48,34,371","1,20,643.50","1,67,402"
20-Apr-15,2480.05,2483.9,2424.85,2426,2428.8,2439.46,"14,45,361",35259.03,84591
21-Apr-15,2428.8,2452,2401,2427.05,2427.05,2430.81,"12,73,016",30944.65,83843
22-Apr-15,2431.5,2473,2407.55,2470.6,2445.1,2428.26,"20,93,406",50833.42,"1,01,821"
23-Apr-15,2472,2479.8,2431.7,2455,2457.25,2460.81,"21,71,495",53436.38,80541
24-Apr-15,2455.3,2514,2447.55,2509.6,2493.05,2488.25,"18,12,579",45101.46,"1,30,453"
27-Apr-15,2499.5,2520,2486,2500,2500.2,2501.44,"13,66,526",34182.8,81966
28-Apr-15,2510,2510,2455.1,2493,2495,2477.16,"15,44,149",38251.06,"1,28,979"
29-Apr-15,2484,2495,2451.05,2481,2487.3,2472.31,"10,09,810",24965.59,"1,00,184"
30-Apr-15,2480,2490,2427.1,2476,2463.7,2461.06,"18,69,027",45997.78,"1,01,021"
4-May-15,2491,2504.8,2457.2,2482.25,2481.55,2476.14,"9,45,315",23407.37,83359
5-May-15,2501,2536.45,2500,2519,2517.85,2518.94,"16,27,535",40996.61,69702
6-May-15,2515,2515,2455.8,2463,2463.05,2468.46,"16,97,203",41894.77,97392
7-May-15,2464.9,2553.75,2453.7,2550,2545.25,2522.63,"16,02,514",40425.58,63417
8-May-15,2560,2588,2516.3,2530,2527.25,2552.07,"15,01,832",38327.85,53709
11-May-15,2535,2563.05,2525,2559,2556,2550.07,"12,86,541",32807.65,73023
12-May-15,2560,2565,2513,2523.95,2522.9,2524.91,"12,33,693",31149.58,71964
13-May-15,2547,2547,2480.45,2523.1,2515.4,2510.43,"9,31,887",23394.42,53692
14-May-15,2520,2520,2485,2499,2499.25,2495.09,"6,54,525",16330.96,40174
15-May-15,2515,2532.4,2501,2511,2511.15,2512.17,"7,30,727",18357.13,32934
18-May-15,2514.1,2525.25,2497.1,2515.15,2520.4,2505.41,"22,53,876",56468.91,50845
19-May-15,2519.4,2530,2496.75,2512,2512.7,2511.97,"9,78,861",24588.74,37527
20-May-15,2520,2569.9,2516.9,2557,2557.05,2550.08,"9,48,907",24197.9,41995
21-May-15,2557,2580,2548.15,2551.9,2555.5,2565.83,"7,89,789",20264.64,40459
22-May-15,2550,2628.75,2539.25,2621.8,2617.9,2594.64,"13,45,816",34919.06,52428
