Date,Open,High,Low,Close,Volume,Adj Close
2016-08-01,1071.50,1087.84998,1068.34998,1085.25,4548300,1073.73429
2016-07-29,1072.59998,1076.75,1066.50,1073.84998,4078300,1062.45523
2016-07-28,1085.40002,1086.94995,1074.05005,1077.50,5629200,1066.06652
2016-07-27,1084.69995,1096.50,1078.55005,1085.34998,3715900,1073.8332
2016-07-26,1070.34998,1089.90002,1070.34998,1088.69995,3594800,1077.14763
2016-07-25,1063.00,1083.25,1063.00,1080.84998,4234700,1069.38095
2016-07-22,1070.00,1079.90002,1066.69995,1072.44995,4693200,1061.07006
2016-07-21,1079.00,1087.19995,1075.59998,1079.90002,4334000,1068.44108
2016-07-20,1070.00,1089.90002,1070.00,1083.09998,4911400,1071.60708
2016-07-19,1088.59998,1090.00,1074.09998,1086.94995,5202300,1075.4162
2016-07-18,1077.25,1084.90002,1055.15002,1081.94995,7166400,1070.46925
2016-07-15,1189.50,1189.90002,1052.00,1072.55005,30742000,1061.16909
2016-07-14,1195.00,1196.05005,1164.00,1176.25,3706600,1163.76867
2016-07-13,1180.00,1195.80005,1175.19995,1193.80005,2637700,1181.1325
2016-07-12,1180.00,1180.34998,1168.00,1176.55005,3098600,1164.06554
2016-07-11,1167.40002,1178.69995,1160.00,1175.05005,3334400,1162.58146
2016-07-08,1163.00,1167.00,1153.50,1158.19995,2775800,1145.91016
2016-07-07,1168.69995,1171.00,1155.00,1157.25,2977400,1144.97028
2016-07-06,1175.44995,1175.44995,1175.44995,1175.44995,000,1162.97711
2016-07-05,1185.00,1187.50,1171.05005,1175.44995,1798200,1162.97711
2016-07-04,1176.19995,1194.59998,1176.19995,1183.94995,2690600,1171.38692
2016-07-01,1180.00,1180.00,1170.09998,1172.40002,1995900,1159.95955
2016-06-30,1180.50,1184.50,1167.94995,1170.80005,4673100,1158.37655
2016-06-29,1169.00,1179.90002,1160.19995,1176.84998,2729500,1164.36228
2016-06-28,1162.80005,1172.50,1155.09998,1159.15002,3827900,1146.85015
2016-06-27,1172.05005,1183.19995,1160.00,1166.19995,2791800,1153.82527
2016-06-24,1188.00,1199.00,1160.00,1194.55005,3904100,1181.87454
2016-06-23,1197.30005,1214.84998,1193.34998,1211.59998,1914300,1198.74355
2016-06-22,1204.00,1211.94995,1188.15002,1199.50,1515600,1186.77197
2016-06-21,1211.19995,1214.80005,1195.65002,1206.09998,2380800,1193.30191
2016-06-20,1181.00,1211.80005,1179.69995,1208.75,3114700,1195.92381
2016-06-17,1189.00,1192.75,1175.09998,1179.50,4257500,1166.98419
2016-06-16,1189.50,1189.50,1170.09998,1186.00,2651200,1173.41522
2016-06-15,1183.69995,1192.65002,1179.05005,1189.94995,3355700,1177.32325
2016-06-14,1182.40002,1182.40002,1167.25,1175.00,1470300,1162.53194
2016-06-13,1176.80005,1184.90002,1166.00,1180.90002,2643300,1168.36936
2016-06-10,1175.40002,1190.00,1170.09998,1180.59998,3191900,1168.07249
2016-06-09,1226.25,1226.25,1180.05005,1185.50,6370400,1172.92052
2016-06-08,1263.94995,1263.94995,1235.34998,1238.09998,4370600,1210.8636
2016-06-07,1267.00,1272.50,1255.09998,1257.40002,2846200,1229.73908
2016-06-06,1264.90002,1277.00,1261.09998,1266.75,2112800,1238.88337
2016-06-03,1260.05005,1279.30005,1260.05005,1266.90002,1999100,1239.03009
2016-06-02,1255.00,1274.90002,1254.00,1261.55005,2526700,1233.79781
2016-06-01,1246.05005,1268.50,1246.00,1258.19995,2420200,1230.52141
2016-05-31,1265.00,1266.75,1239.00,1248.65002,6891000,1221.18157
2016-05-30,1241.50,1272.00,1241.50,1267.59998,2642800,1239.71465
2016-05-27,1231.59998,1259.50,1231.59998,1247.50,3090300,1220.05684
2016-05-26,1210.09998,1239.80005,1210.09998,1234.15002,3068200,1207.00054
2016-05-25,1194.09998,1213.09998,1194.09998,1208.65002,1928600,1182.06151
2016-05-24,1191.05005,1191.75,1177.59998,1187.75,1742500,1161.62125
2016-05-23,1203.40002,1205.15002,1185.00,1188.00,2292900,1161.86575
2016-05-20,1205.00,1219.50,1200.00,1201.59998,1997200,1175.16655
2016-05-19,1210.94995,1216.15002,1201.00,1205.75,1977200,1179.22528
2016-05-18,1199.00,1214.00,1197.90002,1209.84998,2128200,1183.23506
2016-05-17,1220.00,1225.75,1208.15002,1214.25,1898100,1187.53829
2016-05-16,1210.19995,1223.65002,1205.00,1215.00,2266900,1188.27179
2016-05-13,1206.00,1210.00,1192.15002,1207.25,2826000,1180.69228
2016-05-12,1203.90002,1213.00,1196.80005,1210.00,1703400,1183.38179
2016-05-11,1198.50,1214.69995,1192.50,1201.84998,1854900,1175.41105
2016-05-10,1202.50,1216.65002,1196.59998,1212.80005,1697800,1186.12024
2016-05-09,1182.00,1201.55005,1180.59998,1199.05005,2561800,1172.67272
2016-05-06,1189.80005,1189.80005,1177.05005,1181.50,1298300,1155.50874
2016-05-05,1195.15002,1199.00,1181.09998,1192.44995,3151300,1166.21781
2016-05-04,1181.00,1193.00,1170.65002,1188.84998,2906400,1162.69703
2016-05-03,1202.75,1212.19995,1171.80005,1177.80005,3412400,1151.89019
2016-05-02,1210.00,1211.15002,1196.15002,1201.05005,1807600,1174.62872
2016-04-29,1211.44995,1223.55005,1205.00,1208.09998,2518200,1181.52356
2016-04-28,1231.00,1239.59998,1207.00,1209.15002,6082500,1182.55051
2016-04-27,1229.19995,1242.34998,1228.55005,1240.15002,2243100,1212.86855
2016-04-26,1215.44995,1239.55005,1208.59998,1232.15002,2923300,1205.04454
2016-04-25,1212.05005,1224.80005,1201.09998,1215.84998,2682000,1189.10307
2016-04-22,1226.30005,1228.50,1207.00,1211.25,2571900,1184.60429
2016-04-21,1251.00,1251.00,1218.09998,1226.30005,2720500,1199.32326
2016-04-20,1244.00,1246.44995,1225.80005,1243.59998,4036400,1216.24261
2016-04-19,1238.69995,1238.69995,1238.69995,1238.69995,000,1211.45038
2016-04-18,1250.00,1267.90002,1233.50,1238.69995,12507900,1211.45038
2016-04-15,1172.69995,1172.69995,1172.69995,1172.69995,000,1146.90228
2016-04-14,1172.69995,1172.69995,1172.69995,1172.69995,000,1146.90228
2016-04-13,1194.94995,1194.94995,1166.34998,1172.69995,6255600,1146.90228
2016-04-12,1180.50,1194.90002,1178.59998,1182.19995,2921000,1156.1933
2016-04-11,1165.80005,1186.75,1151.09998,1183.90002,2884300,1157.85597
2016-04-08,1175.84998,1177.50,1162.05005,1165.75,2097700,1140.10522
2016-04-07,1208.40002,1208.40002,1175.00,1181.50,2828900,1155.50874
2016-04-06,1228.00,1228.00,1196.00,1200.69995,2465600,1174.28632
2016-04-05,1242.00,1242.30005,1214.00,1219.80005,2395300,1192.96625
2016-04-04,1213.55005,1248.00,1213.55005,1243.69995,2288500,1216.34039
2016-04-01,1216.00,1222.19995,1195.09998,1205.44995,2755700,1178.93183
2016-03-31,1210.25,1229.90002,1200.30005,1218.30005,8998100,1191.49925
2016-03-30,1197.59998,1210.00,1195.55005,1205.94995,2878400,1179.42083
2016-03-29,1199.00,1218.90002,1191.55005,1197.25,3497600,1170.91227
2016-03-28,1232.40002,1237.00,1195.75,1204.90002,5393700,1178.394
2016-03-25,1207.80005,1207.80005,1207.80005,1207.80005,000,1181.23023
2016-03-24,1207.80005,1207.80005,1207.80005,1207.80005,000,1181.23023
2016-03-23,1190.00,1210.69995,1182.09998,1207.80005,3166500,1181.23023
2016-03-22,1191.25,1194.00,1172.00,1189.94995,3548900,1163.77281
2016-03-21,1188.00,1199.00,1180.05005,1194.90002,2569100,1168.61399
2016-03-18,1162.80005,1199.00,1162.00,1193.40002,4238700,1167.14698
2016-03-17,1156.90002,1169.75,1154.05005,1161.75,3237300,1136.19321
2016-03-16,1141.90002,1155.00,1131.55005,1152.44995,2794400,1127.09775
2016-03-15,1144.00,1154.50,1128.94995,1134.40002,3360100,1109.4449
2016-03-14,1146.00,1154.25,1138.50,1141.19995,2087100,1116.09524
2016-03-11,1146.19995,1155.94995,1138.19995,1143.00,2029200,1117.85569
2016-03-10,1162.90002,1162.90002,1139.34998,1142.50,12190500,1117.36669
2016-03-09,1145.00,1183.75,1142.94995,1178.50,3152800,1152.57474
