Date,Open,High,Low,Close,Volume,Adj Close
2016-10-12,2380.30,2380.30,2380.30,2380.30,000,2373.929
2016-10-11,2380.30,2380.30,2380.30,2380.30,000,2373.929
2016-10-10,2369.90,2386.90,2355.05,2380.30,601000,2373.929
2016-10-07,2388.00,2388.00,2358.20,2367.80,908200,2361.463
2016-10-06,2395.00,2402.40,2372.75,2388.75,1133700,2382.357
2016-10-05,2408.00,2415.40,2376.10,2386.35,588100,2379.963
2016-10-04,2420.00,2425.05,2398.00,2405.15,890300,2398.713
2016-10-03,2450.00,2457.65,2401.10,2411.70,909400,2405.245
2016-09-30,2437.05,2449.80,2423.10,2430.80,1087600,2424.294
2016-09-29,2435.00,2456.50,2419.60,2437.80,1801900,2431.276
2016-09-28,2431.00,2437.50,2415.20,2423.05,865600,2416.565
2016-09-27,2401.10,2448.00,2401.10,2436.10,1019300,2429.58
2016-09-26,2401.10,2419.10,2395.00,2401.10,876700,2394.674
2016-09-23,2382.00,2403.85,2371.15,2398.10,900300,2391.682
2016-09-22,2425.25,2428.00,2371.10,2378.00,1428700,2371.636
2016-09-21,2407.70,2424.00,2400.70,2413.40,839000,2406.941
2016-09-20,2411.00,2416.90,2385.40,2406.50,592200,2400.059
2016-09-19,2365.00,2427.00,2350.00,2411.45,1401200,2404.996
2016-09-16,2336.70,2376.00,2320.00,2361.70,2179000,2355.379
2016-09-15,2339.95,2342.10,2316.75,2326.95,1409400,2320.722
2016-09-14,2362.00,2377.60,2310.00,2328.45,1034900,2322.218
2016-09-13,2359.05,2359.05,2359.05,2359.05,000,2352.736
2016-09-12,2337.00,2363.95,2324.00,2359.05,1012200,2352.736
2016-09-09,2329.70,2366.65,2320.05,2352.45,1371200,2346.154
2016-09-08,2360.00,2360.00,2284.75,2322.10,3510700,2315.885
2016-09-07,2499.70,2499.70,2423.00,2440.55,1927000,2434.018
2016-09-06,2519.90,2520.15,2480.00,2484.05,1119500,2477.402
2016-09-05,2514.80,2514.80,2514.80,2514.80,000,2508.07
2016-09-02,2512.00,2519.40,2496.05,2514.80,871100,2508.07
2016-09-01,2524.90,2534.95,2487.05,2507.50,672800,2500.789
2016-08-31,2550.00,2550.00,2500.85,2511.30,1615800,2504.579
2016-08-30,2510.00,2549.80,2501.25,2544.15,722000,2537.341
2016-08-29,2534.95,2534.95,2466.75,2500.55,744300,2493.858
2016-08-26,2559.80,2572.55,2517.20,2524.95,625100,2518.192
2016-08-25,2580.00,2589.70,2526.00,2551.05,969800,2544.223
2016-08-24,2589.80,2602.00,2569.05,2572.05,558400,2565.166
2016-08-23,2544.95,2604.95,2540.20,2601.05,751600,2594.089
2016-08-22,2588.00,2594.45,2536.30,2548.70,1132600,2541.879
2016-08-19,2640.00,2646.45,2600.00,2603.50,1208100,2596.532
2016-08-18,2635.00,2657.55,2630.10,2638.55,646000,2631.488
2016-08-17,2699.00,2699.00,2618.00,2624.55,924200,2617.526
2016-08-16,2738.00,2740.00,2673.85,2691.70,1591800,2684.496
2016-08-15,2738.45,2738.45,2738.45,2738.45,000,2731.121
2016-08-12,2705.00,2744.80,2702.05,2738.45,1163600,2731.121
2016-08-11,2665.55,2715.00,2665.55,2709.90,1116500,2702.647
2016-08-10,2651.00,2682.00,2648.00,2675.40,1031000,2668.24
2016-08-09,2658.00,2659.80,2578.85,2650.20,1130900,2643.107
2016-08-08,2640.00,2668.00,2629.05,2649.50,1029100,2642.409
2016-08-05,2673.90,2684.30,2632.00,2649.10,934200,2642.01
2016-08-04,2670.00,2682.95,2636.25,2652.00,707700,2644.902
2016-08-03,2686.00,2699.00,2649.05,2656.30,1147300,2649.191
2016-08-02,2702.90,2715.70,2689.80,2699.20,1289000,2691.976
2016-08-01,2632.00,2725.00,2632.00,2708.25,1980800,2701.002
2016-07-29,2614.00,2634.90,2599.00,2619.30,1244000,2612.29
2016-07-28,2580.50,2629.55,2577.05,2619.25,2316000,2612.24
2016-07-27,2555.00,2580.40,2545.00,2577.55,875200,2570.652
2016-07-26,2558.95,2568.00,2533.00,2552.60,1155600,2545.768
2016-07-25,2512.00,2563.20,2505.80,2558.95,844300,2552.101
2016-07-22,2498.90,2524.00,2492.00,2515.10,758600,2501.886
2016-07-21,2489.50,2519.50,2464.45,2506.05,1263500,2492.884
2016-07-20,2450.00,2502.50,2448.15,2494.95,1407600,2481.842
2016-07-19,2427.50,2472.80,2427.50,2466.20,1181400,2453.243
2016-07-18,2447.00,2469.00,2430.60,2433.45,1299400,2420.665
2016-07-15,2517.00,2527.80,2426.55,2445.35,4168100,2432.503
2016-07-14,2486.00,2529.00,2471.00,2521.90,1349900,2508.65
2016-07-13,2478.00,2499.25,2451.25,2493.10,1051100,2480.002
2016-07-12,2471.70,2475.00,2435.85,2464.95,732700,2451.999
2016-07-11,2430.00,2471.80,2427.00,2464.15,771800,2451.204
