Year_Month_Day,URL
20080714,"http://timesofindia.indiatimes.com/2008/7/14/archivelist/year-2008,month-7,starttime-39643.cms"
20080715,"http://timesofindia.indiatimes.com/2008/7/15/archivelist/year-2008,month-7,starttime-39644.cms"
20080716,"http://timesofindia.indiatimes.com/2008/7/16/archivelist/year-2008,month-7,starttime-39645.cms"
20080717,"http://timesofindia.indiatimes.com/2008/7/17/archivelist/year-2008,month-7,starttime-39646.cms"
20080718,"http://timesofindia.indiatimes.com/2008/7/18/archivelist/year-2008,month-7,starttime-39647.cms"
20080719,"http://timesofindia.indiatimes.com/2008/7/19/archivelist/year-2008,month-7,starttime-39648.cms"
20080720,"http://timesofindia.indiatimes.com/2008/7/20/archivelist/year-2008,month-7,starttime-39649.cms"
20080721,"http://timesofindia.indiatimes.com/2008/7/21/archivelist/year-2008,month-7,starttime-39650.cms"
20080722,"http://timesofindia.indiatimes.com/2008/7/22/archivelist/year-2008,month-7,starttime-39651.cms"
20080723,"http://timesofindia.indiatimes.com/2008/7/23/archivelist/year-2008,month-7,starttime-39652.cms"
20080724,"http://timesofindia.indiatimes.com/2008/7/24/archivelist/year-2008,month-7,starttime-39653.cms"
20080725,"http://timesofindia.indiatimes.com/2008/7/25/archivelist/year-2008,month-7,starttime-39654.cms"
20080726,"http://timesofindia.indiatimes.com/2008/7/26/archivelist/year-2008,month-7,starttime-39655.cms"
20080727,"http://timesofindia.indiatimes.com/2008/7/27/archivelist/year-2008,month-7,starttime-39656.cms"
20080728,"http://timesofindia.indiatimes.com/2008/7/28/archivelist/year-2008,month-7,starttime-39657.cms"
20080729,"http://timesofindia.indiatimes.com/2008/7/29/archivelist/year-2008,month-7,starttime-39658.cms"
20080730,"http://timesofindia.indiatimes.com/2008/7/30/archivelist/year-2008,month-7,starttime-39659.cms"
20080731,"http://timesofindia.indiatimes.com/2008/7/31/archivelist/year-2008,month-7,starttime-39660.cms"
20080801,"http://timesofindia.indiatimes.com/2008/8/1/archivelist/year-2008,month-8,starttime-39661.cms"
20080802,"http://timesofindia.indiatimes.com/2008/8/2/archivelist/year-2008,month-8,starttime-39662.cms"
20080803,"http://timesofindia.indiatimes.com/2008/8/3/archivelist/year-2008,month-8,starttime-39663.cms"
20080804,"http://timesofindia.indiatimes.com/2008/8/4/archivelist/year-2008,month-8,starttime-39664.cms"
20080805,"http://timesofindia.indiatimes.com/2008/8/5/archivelist/year-2008,month-8,starttime-39665.cms"
20080806,"http://timesofindia.indiatimes.com/2008/8/6/archivelist/year-2008,month-8,starttime-39666.cms"
20080807,"http://timesofindia.indiatimes.com/2008/8/7/archivelist/year-2008,month-8,starttime-39667.cms"
20080808,"http://timesofindia.indiatimes.com/2008/8/8/archivelist/year-2008,month-8,starttime-39668.cms"
20080809,"http://timesofindia.indiatimes.com/2008/8/9/archivelist/year-2008,month-8,starttime-39669.cms"
20080810,"http://timesofindia.indiatimes.com/2008/8/10/archivelist/year-2008,month-8,starttime-39670.cms"
20080811,"http://timesofindia.indiatimes.com/2008/8/11/archivelist/year-2008,month-8,starttime-39671.cms"
20080812,"http://timesofindia.indiatimes.com/2008/8/12/archivelist/year-2008,month-8,starttime-39672.cms"
20080813,"http://timesofindia.indiatimes.com/2008/8/13/archivelist/year-2008,month-8,starttime-39673.cms"
20080814,"http://timesofindia.indiatimes.com/2008/8/14/archivelist/year-2008,month-8,starttime-39674.cms"
20080815,"http://timesofindia.indiatimes.com/2008/8/15/archivelist/year-2008,month-8,starttime-39675.cms"
20080816,"http://timesofindia.indiatimes.com/2008/8/16/archivelist/year-2008,month-8,starttime-39676.cms"
20080817,"http://timesofindia.indiatimes.com/2008/8/17/archivelist/year-2008,month-8,starttime-39677.cms"
